Mahmassani, Hani S	73
Bhat, Chandra R	61
Ozbay, Kaan	59
Gransberg, Douglas D	56
Wang, Wei	56
Ran, Bin	55
Hoogendoorn, Serge	52
Miranda-Moreno, Luis F	51
Yu, Lei	50
Currie, Graham	48
Rakha, Hesham A	46
Bullock, Darcy M	45
Pendyala, Ram M	44
Sayed, Tarek	44
Rouphail, Nagui M	44
Axhausen, Kay W	43
Mishra, Sabyasachee	41
Ouyang, Yanfeng	41
Noyce, David A	41
Geroliminis, Nikolas	40
Wets, Geert	39
Saunier, Nicolas	38
Fitzpatrick, Kay	38
Fu, Liping	37
Abdel-Aty, Mohamed	37
Kockelman, Kara M	37
Schroeder, Bastian J	36
Peeta, Srinivas	36
Zhao, Jinhua	36
Zhang, Lei 	35
Ewing, Reid	35
Flintsch, Gerardo W	35
Goulias, Konstadinos G	34
Sarvi, Majid	33
Timmermans, Harry	33
Hess, Stephane	33
Rakha, Hesham	33
Jin, Peter J	33
Wang, Yinhai	33
Li, Zhibin	32
Tutumluer, Erol	31
Gan, Albert	31
Waller, S Travis	31
Al-Qadi, Imad L	31
Harvey, John	30
Eluru, Naveen	30
Habib, Khandker Nurul	30
Noland, Robert B	29
Persaud, Bhagwant	29
Khazanovich, Lev	29
Guensler, Randall	28
Antoniou, Constantinos	28
El-Geneidy, Ahmed	28
Peng, Zhong-Ren	28
Ukkusuri, Satish V	28
Hadi, Mohammed	28
Shalaby, Amer	28
Zhang, H Michael	28
Chen, Xiaohong	27
Alluri, Priyanka	27
Qin, Xiao	27
Yang, Hong	27
Ksaibati, Khaled	27
Figliozzi, Miguel	27
Yang, Xiaoguang	27
Kaplan, Sigal	26
Patterson, Zachary	26
Gayah, Vikash V	26
Paleti, Rajesh	26
Oh, Cheol	26
Barkan, Christopher P L	25
Liu, Pan	25
Habib, Muhammad Ahsanul	25
Qiu, Tony Z	25
Nazarian, Soheil	25
Wen, Haifang	25
Song, Guohua	25
Kim, Y Richard	25
Brijs, Tom	25
Hickman, Mark	24
Hatzopoulou, Marianne	24
Dill, Jennifer	24
Prato, Carlo Giacomo	24
Zhou, Huaguo	24
Mohammad, Louay N	24
van Arem, Bart	24
Sun, Jian	24
Zhang, Zhanmin	24
Zhang, Lei	24
Turnbull, Katherine F	24
Bill, Andrea R	23
Scarpas, A	23
Morency, Catherine	23
Menendez, Monica	23
Boyles, Stephen D	23
Tarefder, Rafiqul A	23
Hu, Hao	23
Tighe, Susan L	22
Avelar, Raul	22
Cheng, Yang	22
Gates, Timothy J	22
Majumdar, Arnab	22
Ceylan, Halil	21
Delbosc, Alexa	21
Jin, Xia	21
Lord, Dominique	21
Vovsha, Peter	21
Wang, Xuesong	21
Zhou, Xuesong	21
Shi, Xianming	21
Bahia, Hussain U	21
Chiu, Yi-Chang	21
Zhang, Yunlong	20
Skabardonis, Alexander	20
El-Geneidy, Ahmed M	20
Nassif, Hani	20
Clifton, Kelly J	20
Fisher, Donald L	20
Schonfeld, Paul	20
Roorda, Matthew J	20
Chatti, Karim	20
Mohammadian, Abolfazl (Kouros)	20
Wang, Kelvin C P	20
Zaki, Mohamed H	20
Levinson, David	19
Molenaar, Keith R	19
Zaman, Musharraf	19
Sun, Carlos	19
Cetin, Mecit	19
Bauer, Karin M	19
Schrock, Steven D	19
Lindsey, Greg	19
Xiao, Yan	19
Liu, Yue	19
Savolainen, Peter T	19
Graham, Daniel J	19
Zhang, Junyi	19
Daamen, Winnie	19
Taylor, Brian D	18
Bellemans, Tom	18
Nelson, Arthur C	18
Ma, Wanjing	18
Wang, Hao	18
Labi, Samuel	18
Quddus, Mohammed	18
Howard, Isaac L	18
Li, Howell	18
Brewer, Marcus A	18
de Abreu e Silva, Jo?o	18
Welch, Timothy F	18
Ritchie, Stephen G	18
Edara, Praveen	18
Li, Xiaopeng	18
Scullion, Tom	18
Chowdhury, Mashrur	18
Elseifi, Mostafa A	18
Holgu¨ªn-Veras, Jos¨¦	18
Xie, Kun	18
Vortisch, Peter	18
Saberi, Meead	18
Choubane, Bouzid	17
Jones, David	17
Daniel, Jo Sias	17
Qi, Yi	17
Livshits, Vladimir	17
Haghani, Ali	17
Morikawa, Takayuki	17
Li, Hui	17
Ben-Akiva, Moshe	17
Jaller, Miguel	17
Lee, Jaeyoung	17
Arentze, Theo	17
Zhang, Zhongjie	17
Bartin, Bekir	17
Meng, Qiang	17
Hellinga, Bruce	17
Li, Ye	17
Chang, Gang-Len	17
Dixon, Karen	17
Karlaftis, Matthew G	17
Axsen, Jonn	16
Bell, Michael G H	16
Wang, Haizhong	16
Chan, Ching-Yao	16
Chen, Anthony	16
Aultman-Hall, Lisa	16
Miranda-Moreno, Luis	16
Xiong, Chenfeng	16
Li, Zhixia	16
Rong, Jian	16
Yannis, George	16
Jayakrishnan, R	16
